date,bitcoin,btc,buy bitcoin,sell bitcoin,isPartial
2018-01-06 00:00:00,90,23,4,0,False
2018-01-06 01:00:00,87,23,4,0,False
2018-01-06 02:00:00,85,23,4,0,False
2018-01-06 03:00:00,83,24,4,0,False
2018-01-06 04:00:00,82,24,4,0,False
2018-01-06 05:00:00,81,24,4,0,False
2018-01-06 06:00:00,79,24,3,0,False
2018-01-06 07:00:00,73,22,3,0,False
2018-01-06 08:00:00,70,21,2,0,False
2018-01-06 09:00:00,66,20,2,0,False
2018-01-06 10:00:00,64,18,2,0,False
2018-01-06 11:00:00,62,18,2,0,False
2018-01-06 12:00:00,62,17,2,0,False
2018-01-06 13:00:00,62,16,2,0,False
2018-01-06 14:00:00,64,16,2,0,False
2018-01-06 15:00:00,69,16,3,0,False
2018-01-06 16:00:00,68,17,3,0,False
2018-01-06 17:00:00,69,17,3,0,False
2018-01-06 18:00:00,71,17,3,0,False
2018-01-06 19:00:00,70,16,3,0,False
2018-01-06 20:00:00,70,16,3,0,False
2018-01-06 21:00:00,73,17,3,0,False
2018-01-06 22:00:00,79,19,3,0,False
2018-01-06 23:00:00,81,19,3,0,False
2018-01-07 00:00:00,80,20,3,0,False
2018-01-07 01:00:00,80,20,3,0,False
2018-01-07 02:00:00,79,21,3,1,False
2018-01-07 03:00:00,80,21,4,0,False
2018-01-07 04:00:00,77,22,4,0,False
2018-01-07 05:00:00,78,23,3,0,False
2018-01-07 06:00:00,77,22,3,0,False
2018-01-07 07:00:00,71,21,3,0,False
2018-01-07 08:00:00,68,20,3,0,False
2018-01-07 09:00:00,65,19,2,0,False
2018-01-07 10:00:00,65,18,2,0,False
2018-01-07 11:00:00,62,17,2,0,False
2018-01-07 12:00:00,62,16,2,0,False
2018-01-07 13:00:00,63,16,2,0,False
2018-01-07 14:00:00,63,15,2,0,False
2018-01-07 15:00:00,64,15,2,0,False
2018-01-07 16:00:00,67,15,2,0,False
2018-01-07 17:00:00,69,15,2,0,False
2018-01-07 18:00:00,71,15,3,0,False
2018-01-07 19:00:00,70,16,3,0,False
2018-01-07 20:00:00,71,16,3,0,False
2018-01-07 21:00:00,73,16,3,0,False
2018-01-07 22:00:00,76,18,3,0,False
2018-01-07 23:00:00,80,19,3,0,False
2018-01-08 00:00:00,77,19,3,0,False
2018-01-08 00:00:00,58,15,3,0,False
2018-01-08 01:00:00,59,15,2,0,False
2018-01-08 02:00:00,58,15,3,0,False
2018-01-08 03:00:00,60,16,3,0,False
2018-01-08 04:00:00,62,17,3,0,False
2018-01-08 05:00:00,61,17,3,0,False
2018-01-08 06:00:00,57,17,2,0,False
2018-01-08 07:00:00,54,16,2,0,False
2018-01-08 08:00:00,53,15,2,0,False
2018-01-08 09:00:00,52,14,1,0,False
2018-01-08 10:00:00,52,13,1,0,False
2018-01-08 11:00:00,53,13,1,0,False
2018-01-08 12:00:00,53,12,1,0,False
2018-01-08 13:00:00,57,12,2,0,False
2018-01-08 14:00:00,65,12,2,0,False
2018-01-08 15:00:00,72,13,2,0,False
2018-01-08 16:00:00,63,12,2,0,False
2018-01-08 17:00:00,63,12,2,0,False
2018-01-08 18:00:00,62,12,2,0,False
2018-01-08 19:00:00,63,12,2,0,False
2018-01-08 20:00:00,64,13,2,0,False
2018-01-08 21:00:00,66,13,2,0,False
2018-01-08 22:00:00,67,14,2,0,False
2018-01-08 23:00:00,67,15,2,0,False
2018-01-09 00:00:00,63,14,2,0,False
2018-01-09 01:00:00,60,14,2,0,False
2018-01-09 02:00:00,59,15,2,0,False
2018-01-09 03:00:00,61,16,2,0,False
2018-01-09 04:00:00,63,17,2,0,False
2018-01-09 05:00:00,64,18,2,0,False
2018-01-09 06:00:00,62,17,2,0,False
2018-01-09 07:00:00,57,16,2,0,False
2018-01-09 08:00:00,54,15,2,0,False
2018-01-09 09:00:00,53,14,2,0,False
2018-01-09 10:00:00,53,13,1,0,False
2018-01-09 11:00:00,53,13,1,0,False
2018-01-09 12:00:00,55,12,1,0,False
2018-01-09 13:00:00,55,12,1,0,False
2018-01-09 14:00:00,55,11,1,0,False
2018-01-09 15:00:00,55,11,2,0,False
2018-01-09 16:00:00,56,11,2,0,False
2018-01-09 17:00:00,57,11,2,0,False
2018-01-09 18:00:00,56,11,2,0,False
2018-01-09 19:00:00,57,11,2,0,False
2018-01-09 20:00:00,59,12,2,0,False
2018-01-09 21:00:00,62,13,2,0,False
2018-01-09 22:00:00,64,14,2,0,False
2018-01-09 23:00:00,66,15,2,0,False
2018-01-10 00:00:00,66,14,2,0,False
2018-01-10 01:00:00,62,14,2,0,False
2018-01-10 02:00:00,62,15,3,0,False
2018-01-10 03:00:00,63,16,3,0,False
2018-01-10 04:00:00,65,17,3,0,False
2018-01-10 05:00:00,66,18,3,0,False
2018-01-10 06:00:00,61,17,2,0,False
2018-01-10 07:00:00,58,16,2,0,False
2018-01-10 08:00:00,64,16,2,0,False
2018-01-10 09:00:00,58,15,2,0,False
2018-01-10 10:00:00,54,13,1,0,False
2018-01-10 11:00:00,55,12,1,0,False
2018-01-10 12:00:00,55,12,1,0,False
2018-01-10 13:00:00,54,11,1,0,False
2018-01-10 14:00:00,58,11,1,0,False
2018-01-10 15:00:00,57,11,1,0,False
2018-01-10 16:00:00,57,11,2,0,False
2018-01-10 17:00:00,58,11,2,0,False
2018-01-10 18:00:00,58,11,2,0,False
2018-01-10 19:00:00,58,10,2,0,False
2018-01-10 20:00:00,59,11,2,0,False
2018-01-10 21:00:00,63,11,2,0,False
2018-01-10 22:00:00,66,12,2,0,False
2018-01-10 23:00:00,63,13,2,0,False
2018-01-11 00:00:00,61,13,2,0,False
2018-01-11 01:00:00,58,12,2,0,False
2018-01-11 02:00:00,59,14,2,0,False
2018-01-11 03:00:00,70,15,2,0,False
2018-01-11 04:00:00,100,21,2,0,False
2018-01-11 05:00:00,85,20,2,0,False
2018-01-11 06:00:00,80,18,2,0,False
2018-01-11 07:00:00,71,16,2,0,False
2018-01-11 08:00:00,64,15,1,0,False
2018-01-11 09:00:00,62,14,1,0,False
2018-01-11 10:00:00,61,13,1,0,False
2018-01-11 11:00:00,66,13,1,0,False
2018-01-11 12:00:00,63,12,1,0,False
2018-01-11 13:00:00,63,12,1,0,False
2018-01-11 14:00:00,64,12,1,0,False
2018-01-11 15:00:00,64,12,1,0,False
2018-01-11 16:00:00,63,11,2,0,False
2018-01-11 17:00:00,63,11,2,0,False
2018-01-11 18:00:00,64,11,2,0,False
2018-01-11 19:00:00,66,11,2,0,False
2018-01-11 20:00:00,69,12,2,0,False
2018-01-11 21:00:00,71,12,2,0,False
2018-01-11 22:00:00,73,13,2,0,False
2018-01-11 23:00:00,78,14,2,0,False
2018-01-12 00:00:00,75,14,2,0,False
2018-01-12 01:00:00,67,13,2,0,False
2018-01-12 02:00:00,67,13,2,0,False
2018-01-12 03:00:00,63,15,2,0,False
2018-01-12 04:00:00,65,16,2,0,False
2018-01-12 05:00:00,64,16,2,0,False
2018-01-12 06:00:00,61,16,2,0,False
2018-01-12 07:00:00,57,15,2,0,False
2018-01-12 08:00:00,56,13,1,0,False
2018-01-12 09:00:00,53,12,1,0,False
2018-01-12 10:00:00,50,12,1,0,False
2018-01-12 11:00:00,52,12,1,0,False
2018-01-12 12:00:00,50,11,1,0,False
2018-01-12 13:00:00,50,11,1,0,False
2018-01-12 14:00:00,51,10,1,0,False
2018-01-12 15:00:00,52,10,1,0,False
2018-01-12 16:00:00,53,10,1,0,False
2018-01-12 17:00:00,53,10,1,0,False
2018-01-12 18:00:00,54,9,1,0,False
2018-01-12 19:00:00,52,9,1,0,False
2018-01-12 20:00:00,53,10,1,0,False
2018-01-12 21:00:00,56,10,2,0,False
2018-01-12 22:00:00,57,11,2,0,False
2018-01-12 23:00:00,59,12,2,0,False
2018-01-13 00:00:00,55,12,2,0,False
2018-01-13 01:00:00,54,12,2,0,False
2018-01-13 02:00:00,54,13,2,0,False
2018-01-13 03:00:00,53,13,2,0,False
2018-01-13 04:00:00,53,14,2,0,False
2018-01-13 05:00:00,52,14,2,0,False
