,momfinal,pricemafinal,vixfinal,compound,googlefinal,gfi,buy,sell
2018-05-01 00:00:00,0.5989792913112973,1.0,0.29426284173547446,0.0,0.8107235473520946,54.07931360797733,False,False
2018-05-01 01:00:00,0.49166450281548746,1.0,0.657116011529079,0.0,0.6669440960395486,56.3144922076823,False,False
2018-05-01 02:00:00,0.698583825634861,1.0,0.31009463125225134,0.0,0.4158053695924031,48.48967652959031,False,False
2018-05-01 03:00:00,0.8456402545216877,1.0,0.26662835702916804,0.0,0.5031050242841317,52.30747271669974,False,False
2018-05-01 04:00:00,0.9850011062075816,1.0,0.1757853700960379,0.0,0.5489832426763365,54.19539437959913,False,False
2018-05-01 05:00:00,0.9975323270315619,1.0,0.08872101764351138,0.0,0.17287455485394332,45.18255799058034,False,False
2018-05-01 06:00:00,1.0,0.8569431748988525,0.30495521810751286,0.1126314242020079,0.0,45.49059634416747,False,False
2018-05-01 07:00:00,1.0,0.7419187727161859,0.27390027131768413,0.1532521836547409,0.0,43.38142455377222,False,False
2018-05-01 08:00:00,1.0,0.5694924759630655,0.37936819644658276,0.0,0.32867501834694157,45.5507138151318,False,False
2018-05-01 09:00:00,0.9397380716653044,0.4265842895584911,1.0,0.0,0.43980675772739286,56.12258237902377,False,False
2018-05-01 10:00:00,1.0,0.6800249413315819,0.31178993779299435,0.0,0.20127917847031518,43.86188115189783,False,False
2018-05-01 11:00:00,1.0,0.5486738457937936,0.42198207858939774,0.012424663387290018,0.0,39.66161175540962,False,False
2018-05-01 12:00:00,0.7852872309265452,0.6757437974011079,1.0,0.21024153642177096,0.0,53.42545129498848,False,False
2018-05-01 13:00:00,1.0,0.8770695748964503,0.3608634258576677,0.1922495267840749,0.0,48.60365055076386,False,False
2018-05-01 14:00:00,1.0,0.8425309337955257,0.0,0.28530360773945984,0.25660008899026504,47.688692610505015,False,False
2018-05-01 15:00:00,1.0,0.7630538805835545,0.0,0.1353508134823563,0.35630676688566837,45.094229219031575,False,False
2018-05-01 16:00:00,1.0,0.6583417576983097,0.0456125843367548,0.0,0.36104986921346544,41.3000842249706,False,False
2018-05-01 17:00:00,1.0,0.5402688919366224,0.0027940509374082675,0.0,0.5465087404787605,41.791433667055834,False,False
2018-05-01 18:00:00,1.0,0.4711908584808437,0.12333355008054057,0.0,0.695176397181233,45.79401611485235,False,False
2018-05-01 19:00:00,1.0,0.5602175755351659,0.0,0.10568806696305708,0.4760388661103991,42.83889017217244,False,False
2018-05-01 20:00:00,1.0,0.5355926639904611,0.0,0.17827229620620327,0.19806479846610295,38.238595173255355,False,False
2018-05-01 21:00:00,1.0,0.0,0.13334154687113592,0.10834732996368464,0.547217848756941,35.77813451183523,False,False
2018-05-01 22:00:00,1.0,0.018111483489157438,0.3632552180307245,0.0,0.40511436551097707,35.72962134061718,False,False
2018-05-01 23:00:00,1.0,0.30746270327427516,0.49630109023296054,0.08633933924051652,0.0,37.802062654955044,False,False
2018-05-02 00:00:00,1.0,0.07750987834809808,0.3238920917110146,0.4500678704014694,0.0,37.02939680921164,False,False
2018-05-02 01:00:00,1.0,0.7029699195266855,0.06724729182648431,0.4152053755734825,0.0,43.70845173853304,False,False
2018-05-02 02:00:00,0.4662434579881323,0.27769290785258344,0.0,0.17287023429579962,1.0,38.3361320027303,False,False
2018-05-02 03:00:00,1.0,0.6282129816153315,0.0,0.8976428946384983,0.38521176531980356,58.22135283147267,False,False
2018-05-02 04:00:00,1.0,0.0,0.057228887001406055,0.24769756897273892,0.04724227126680545,27.04337454481901,True,False
2018-05-02 05:00:00,1.0,0.0,0.4865038291232614,0.5493363966436092,0.7617522017774256,55.95184855088593,False,False
2018-05-02 06:00:00,0.5366818238344846,0.0,1.0,0.33071517634759423,0.9051797939198254,55.45153588203809,False,False
2018-05-02 07:00:00,0.35359037990799164,0.0,0.8131897150948696,0.10341189302309362,1.0,45.4038397605191,False,False
2018-05-02 08:00:00,0.24114483106599185,0.0,0.8390327416764941,0.4455334716478611,1.0,50.51422088780695,False,False
2018-05-02 09:00:00,0.09559492782692755,0.0,0.32625002981541595,0.1447840923061585,1.0,31.332580998970037,False,False
2018-05-02 10:00:00,0.0,0.21365946411517509,1.0,0.1147866710897978,0.3721807184996736,34.012537074092926,False,False
2018-05-02 11:00:00,0.0,0.2808682808984149,1.0,0.30652077822635515,0.3728272086959859,39.20432535641511,False,False
2018-05-02 12:00:00,0.0,0.2629226095858243,1.0,0.34037850946641013,0.648100620404466,45.02803478913401,False,False
2018-05-02 13:00:00,0.0,0.11545748674753431,0.18097071259050346,0.6075315122857461,1.0,38.07919423247568,False,False
2018-05-02 14:00:00,0.10677578021991492,0.46745678042059263,0.0,0.4675906969920087,1.0,40.83646515265033,False,False
2018-05-02 15:00:00,0.14293619834056998,1.0,0.0,0.6779889388839444,0.8592389131711867,53.60328100791401,False,False
2018-05-02 16:00:00,0.04090191702425173,1.0,0.0,0.13209833795606846,0.5894143308665489,35.24829171693739,False,False
2018-05-02 17:00:00,0.0,1.0,0.5909685281133914,0.07789228054156633,0.3681815762735083,40.74084769856932,False,False
2018-05-02 18:00:00,0.5730701152061041,0.8639960964399789,0.4655008849057763,0.0,1.0,58.05134193103718,False,False
2018-05-02 19:00:00,0.5368371510719333,0.3006060969888538,1.0,0.0,0.4423459650768345,45.59578426275244,False,False
2018-05-02 20:00:00,0.7955634365685189,1.0,0.7760659770211116,0.31959317229515627,0.0,57.82445171769574,False,False
2018-05-02 21:00:00,0.47094654271920544,1.0,0.0,0.09843047858136482,0.41366558520724395,39.66085213015628,False,False
