,compound,neg,neu,pos,published
84,-0.664,0.087,0.845,0.068,2018-05-19T23:28:00.000+03:00
85,0.8508,0.0,0.729,0.271,2018-05-19T23:24:00.000+03:00
86,0.4173,0.0,0.872,0.128,2018-05-19T23:19:00.000+03:00
87,0.4215,0.0,0.741,0.259,2018-05-19T23:17:00.000+03:00
88,-0.5976,0.172,0.725,0.103,2018-05-19T23:17:00.000+03:00
89,0.8516,0.023,0.87,0.106,2018-05-19T23:13:00.000+03:00
90,0.8779,0.058,0.847,0.095,2018-05-19T23:12:00.000+03:00
91,0.0,0.0,1.0,0.0,2018-05-19T23:01:00.000+03:00
92,-0.6598,0.149,0.759,0.092,2018-05-19T22:58:00.000+03:00
93,0.2716,0.06,0.88,0.06,2018-05-19T22:57:00.000+03:00
94,0.1426,0.033,0.925,0.042,2018-05-19T22:56:00.000+03:00
95,0.0516,0.064,0.865,0.071,2018-05-19T22:53:00.000+03:00
96,0.0,0.0,1.0,0.0,2018-05-19T22:44:00.000+03:00
97,0.0,0.0,1.0,0.0,2018-05-19T22:43:00.000+03:00
98,0.0,0.0,1.0,0.0,2018-05-19T22:41:00.000+03:00
99,0.3384,0.136,0.702,0.161,2018-05-19T22:40:00.000+03:00
100,-0.6597,0.058,0.942,0.0,2018-05-11T22:00:00.000+03:00
101,0.988,0.018,0.895,0.087,2018-05-11T21:58:00.000+03:00
102,0.9514,0.008,0.942,0.051,2018-05-11T21:58:00.000+03:00
103,0.8526,0.057,0.759,0.184,2018-05-11T21:57:00.000+03:00
104,0.9213,0.0,0.836,0.164,2018-05-11T21:55:00.000+03:00
105,-0.3735,0.104,0.803,0.093,2018-05-11T21:54:00.000+03:00
106,0.0,0.0,1.0,0.0,2018-05-11T21:51:00.000+03:00
107,0.7722,0.04,0.875,0.085,2018-05-11T21:46:00.000+03:00
108,0.9808,0.019,0.77,0.21,2018-05-11T21:45:00.000+03:00
109,0.0,0.0,1.0,0.0,2018-05-11T21:41:00.000+03:00
110,0.0,0.0,1.0,0.0,2018-05-11T21:37:00.000+03:00
111,0.0,0.0,1.0,0.0,2018-05-11T21:34:00.000+03:00
112,0.9244,0.0,0.847,0.153,2018-05-11T21:33:00.000+03:00
113,0.9697,0.022,0.814,0.164,2018-05-11T21:29:00.000+03:00
114,-0.4278,0.019,0.981,0.0,2018-05-11T21:27:00.000+03:00
115,0.7003,0.036,0.888,0.076,2018-05-11T21:26:00.000+03:00
116,0.9902,0.043,0.842,0.115,2018-05-11T21:24:00.000+03:00
117,0.0,0.0,1.0,0.0,2018-05-11T21:24:00.000+03:00
118,0.1511,0.0,0.919,0.081,2018-05-11T21:21:00.000+03:00
119,0.9514,0.053,0.868,0.08,2018-05-11T21:21:00.000+03:00
120,0.6908,0.0,0.917,0.083,2018-05-11T21:20:00.000+03:00
121,0.4678,0.036,0.893,0.071,2018-05-11T21:18:00.000+03:00
122,0.9976,0.015,0.822,0.164,2018-05-11T21:17:00.000+03:00
123,0.8126,0.0,0.865,0.135,2018-05-11T21:16:00.000+03:00
124,0.1502,0.102,0.788,0.11,2018-05-11T21:16:00.000+03:00
125,0.0,0.0,1.0,0.0,2018-05-11T21:16:00.000+03:00
126,0.5803,0.0,0.877,0.123,2018-05-11T21:12:00.000+03:00
127,0.9976,0.015,0.82,0.166,2018-05-11T21:11:00.000+03:00
128,0.9978,0.014,0.818,0.168,2018-05-11T21:10:00.000+03:00
129,0.5859,0.0,0.958,0.042,2018-05-11T21:09:00.000+03:00
130,0.9729,0.014,0.844,0.143,2018-05-11T21:07:00.000+03:00
131,-0.9032,0.079,0.871,0.05,2018-05-11T21:07:00.000+03:00
132,0.9983,0.012,0.83,0.158,2018-05-11T21:06:00.000+03:00
133,0.9978,0.014,0.82,0.166,2018-05-11T21:06:00.000+03:00
134,0.5574,0.048,0.87,0.082,2018-05-11T21:05:00.000+03:00
135,0.955,0.019,0.887,0.093,2018-05-11T21:03:00.000+03:00
136,0.7519,0.088,0.807,0.105,2018-05-11T21:01:00.000+03:00
137,0.9921,0.023,0.857,0.12,2018-05-11T21:01:00.000+03:00
138,-0.3612,0.045,0.92,0.035,2018-05-11T21:01:00.000+03:00
139,0.0,0.0,1.0,0.0,2018-05-11T21:01:00.000+03:00
140,-0.431,0.085,0.891,0.024,2018-05-11T20:58:00.000+03:00
141,0.9994,0.051,0.809,0.14,2018-05-11T20:54:00.000+03:00
142,0.0,0.0,1.0,0.0,2018-05-11T20:53:00.000+03:00
143,0.6119,0.097,0.706,0.197,2018-05-11T20:50:00.000+03:00
144,0.0,0.0,1.0,0.0,2018-05-11T20:50:00.000+03:00
145,-0.988,0.114,0.809,0.077,2018-05-11T20:47:00.000+03:00
146,-0.983,0.24,0.703,0.057,2018-05-11T20:47:00.000+03:00
147,-0.8146,0.057,0.892,0.051,2018-05-11T20:45:00.000+03:00
148,0.9969,0.014,0.777,0.209,2018-05-11T20:43:00.000+03:00
149,0.9969,0.014,0.773,0.213,2018-05-11T20:43:00.000+03:00
150,0.9976,0.013,0.774,0.213,2018-05-11T20:43:00.000+03:00
151,0.9963,0.014,0.794,0.192,2018-05-11T20:43:00.000+03:00
152,0.9963,0.015,0.777,0.208,2018-05-11T20:43:00.000+03:00
153,0.8442,0.032,0.904,0.063,2018-05-11T20:40:00.000+03:00
154,0.9147,0.044,0.862,0.095,2018-05-11T20:39:00.000+03:00
155,-0.5647,0.06,0.919,0.021,2018-05-11T20:35:00.000+03:00
156,-0.2263,0.095,0.905,0.0,2018-05-11T20:34:00.000+03:00
157,0.0,0.0,1.0,0.0,2018-05-11T20:33:00.000+03:00
158,0.4588,0.0,0.912,0.088,2018-05-11T20:31:00.000+03:00
159,0.9952,0.025,0.733,0.241,2018-05-11T20:31:00.000+03:00
160,0.9153,0.052,0.882,0.066,2018-05-11T20:30:00.000+03:00
161,0.0,0.0,1.0,0.0,2018-05-11T20:29:00.000+03:00
162,-0.7415,0.189,0.725,0.086,2018-05-11T20:24:00.000+03:00
163,0.8435,0.097,0.787,0.116,2018-05-11T20:23:00.000+03:00
164,-0.6124,0.044,0.932,0.024,2018-05-11T20:22:00.000+03:00
165,0.5994,0.0,0.929,0.071,2018-05-11T20:22:00.000+03:00
166,0.1027,0.079,0.856,0.065,2018-05-11T20:22:00.000+03:00
167,0.7232,0.029,0.902,0.068,2018-05-11T20:21:00.000+03:00
